timestamp_iso,temperature,humidity,smoke_level,smoke_category,window_open,cooling_on
2026-05-06T19:43:08.173024+00:00,26.0,81.0,,,,
2026-05-06T19:44:12.650421+00:00,26.0,80.0,,,,
2026-05-06T19:44:52.491814+00:00,26.0,80.0,,,,
2026-05-06T19:45:32.347412+00:00,26.0,80.0,,,,
2026-05-06T19:46:12.314380+00:00,26.0,80.0,,,,
2026-05-06T19:46:52.896995+00:00,26.0,80.0,,,,
2026-05-06T19:47:51.289980+00:00,26.0,80.0,,,,
2026-05-06T19:48:30.941699+00:00,26.0,81.0,,,,
2026-05-06T19:49:14.248261+00:00,26.0,81.0,,,,
2026-05-06T19:49:56.377626+00:00,27.0,81.0,,,,
2026-05-06T19:50:40.154950+00:00,27.0,80.0,,,,
2026-05-06T19:51:20.203736+00:00,27.0,80.0,,,,
2026-05-06T19:52:04.789079+00:00,27.0,80.0,,,,
2026-05-06T19:52:44.385381+00:00,27.0,79.0,,,,
2026-05-06T19:53:24.705890+00:00,27.0,79.0,,,,
2026-05-06T19:54:08.752414+00:00,27.0,79.0,,,,
2026-05-06T19:54:48.415247+00:00,27.0,79.0,,,,
2026-05-06T19:55:33.418106+00:00,27.0,78.0,,,,
2026-05-06T19:57:22.467730+00:00,27.0,77.0,,,,
2026-05-06T20:00:54.551953+00:00,27.0,78.0,,,,
2026-05-06T20:02:11.633435+00:00,27.0,79.0,,,,
2026-05-06T20:03:44.982529+00:00,28.0,76.0,1852.0,Heavy,,
